id,category,speaker,image,lines,request,to,judgement
1001,text,g,1.png,I'm a game developer. There's a Game Jam today,FALSE,1002,
1002,text,g,1.png,(A Game Jam is a game development event. Participants only have 48 hours to make a game around a given theme.),FALSE,1003,
1003,text,g,1.png,"Sometimes if you are lucky enough you can team up with girls in a Game Jam. However, with our team that is not the case.",FALSE,1004,
1004,text,g,1.png,The Jam begins on Friday afternoon. Most of the teams will spend the first night designing their own game.,FALSE,1005,
1005,text,g,1.png,"Everything went well with our team and a game idea has been settled on, so I decided to take a break and look around.",FALSE,1006,
1006,text,g,1.png,I notice her. Her team is next to us.,FALSE,1007,
1007,text,g,1.png,"It looks like her team is in an intense discussion. I heard one of her teammates say, ""Let's just take a break and try again in 10 minutes.""",FALSE,1008,
1008,text,g,1.png,"Her teammates leave their chairs, leaving her along writing her notes.",FALSE,1009,
1009,text,m,1.png,"""This is my chance to talk to her,"" I thought.",FALSE,1010,
1010,text,g,1.png,I checked my hair and clothes and put on the best smile I could.,FALSE,1011,
1011,text,g,1.png,"I walked to her side, acting as natural as I could.",FALSE,1012,
1012,choice,m,1.png,"""Hey, I am XXX, can we be friends?""",FALSE,1121,FALSE
1012,choice,m,1.png,"""Would you like to hear about our game idea?""",FALSE,1122,FALSE
1012,choice,m,1.png,"""They've come up with an interesting theme this year, haven't they?""",TRUE,1123,TRUE
1121,text,f,1-2.png,"She appears to be feeling awkward, but she still politely introduces herself:"" Hi, I'm OOO.""",FALSE,2001,
1122,text,f,1-2.png,"She appears to be feeling awkward, but she still hears out our game idea. ""Emmm…It's not too bad.""",FALSE,2001,
1123,text,f,1-2.png,"""Yeah, the man and the woman intertwined with each other. I think it implies something about love and romance.""",FALSE,1124,
1124,text,m,1-2.png,"""A game about love, I like it. And I do feel that this picture has another meaning as well. Something like,'There are always two sides to things.'""",FALSE,1125,
1125,text,f,1-2.png,"""yeah, I feel that way as well. Maybe we can incorporate love into our game. I think it'll be interesting.""",FALSE,1126,
1126,text,m,1-2.png,"""I'm sure it will be. And we can…""",FALSE,1127,
1127,text,m,1-2.png,"We talked about our game idea for a long time, but her teammates didn't adopt it and it was never made.",FALSE,1128,
1128,text,g,1-2.png,I only found this out later after she told me.,FALSE,2001,
2001,text,g,2.png,"After the Game Jam ended, I found her through the WeChat event group.",FALSE,2002,
2002,text,g,2.png,"Although we felt kind of awkard at the beginning, we soon became each other's 'pen pal', sharing each others secrets and feelings.",FALSE,2003,
2003,text,g,2.png,"My friends said that even though I didn't win an award at Game Jam, I am still a winnder",FALSE,2004,
2004,text,g,2.png,I can't argue with that. I am so lucky to have met her.,FALSE,2005,
2005,text,g,2.png,Two weeks later we were texting though WeChat.,FALSE,2006,
2006,text,g,2.png,And I'm thinking of when to ask she out and maybe watch a movie and have a meal together,FALSE,2007,
2007,wechat,f,2.png,My boss solded me today.,FALSE,2008,
2008,wechat,f,2.png,I just did what he told me to.,FALSE,2009,
2009,wechat,f,2.png,It shouldn't have become my fault.,FALSE,2010,
2010,choice,m,2.png,Your bosses take advantage of you.,FALSE,2101,
2010,choice,m,2.png,Maybe it was just a misunderstanding.,FALSE,2111,
2101,wechat,g,2.png,Your bosses take advantage of you.,FALSE,2102,
2102,wechat,m,2.png,And you take responsibility for your boos's mistakes.,FALSE,2103,
2103,wechat,m,2.png,It will always be this way.,FALSE,2104,
2104,wechat,m,2.png,There is no need to be upset about it.,FALSE,2105,
2105,wechat,f,2.png,More than this.,FALSE,2106,
2106,wechat,f,2.png,None of my colleagues stand by me.,FALSE,2107,
2107,wechat,f,2.png,How loyal they are!,FALSE,2012,
2012,choice,g,2.png,No one wants to upset their boss.,FALSE,2201,
2012,choice,g,2.png,Maybe they just don't have a clear idea of what happened,FALSE,2205,
2201,wechat,m,2.png,No one wants to fight with their boss.,FALSE,2202,
2202,wechat,m,2.png,Everyone has bills to pay.,FALSE,2203,
2203,wechat,f,2.png,I still fee bad.,FALSE,2204,
2204,choice,g,2.png,Would you like to go out with me this weekend?,FALSE,2014,
2014,wechat,m,2.png,Would you like to go out with me this weekend?,FALSE,2015,
2015,wechat,m,2.png,I'm sure that we will have a nice time.,FALSE,2016,
2016,wechat,f,2.png,Okey.,FALSE,2017,
2017,wechat,f,2.png,Maybe watch a movie?,FALSE,2018,
2018,choice,g,2.png,Steelman (Action),FALSE,2301,FALSE
2018,choice,g,2.png,Spoiled Girls Got luck (Love Comedy),FALSE,2301,FALSE
2018,choice,g,2.png,Juoff (Horror),FALSE,2301,FALSE
2018,choice,g,2.png,Sherlock Holmecat (Detective),FALSE,2401,TRUE
2301,wechat,m,2.png,I believe that is interesting,FALSE,2302,
2302,wechat,f,2.png,Okey.,FALSE,2303,
2303,wechat,m,2.png,See you this weekend.,FALSE,3001,
2111,wechat,m,2.png,Maybe it was just a misunderstanding.,FALSE,2112,
2112,wechat,m,2.png,Maybe your boss didn't mean to do that.,FALSE,2113,
2113,wechat,m,2.png,It might be best to just try to let it go.,FALSE,2105,
2205,wechat,m,2.png,They weren't involved.,FALSE,2206,
2206,wechat,m,2.png,Maybe they just don't have a clear idea of what happened,FALSE,2207,
2207,wechat,f,2.png,I still feel bad.,FALSE,2204,
2401,wechat,m,2.png,I believe that is interesting,FALSE,2402,
2402,wechat,f,2.png,Yeah. I'm actually a big fan of Shelock Holmecat.,FALSE,2403,
2403,wechat,f,2.png,I read all the novels and am super excited about this movie.,FALSE,2404,
2404,wechat,f,2.png,Let's go watch it!,FALSE,2303,
3001,text,g,3.png,I already bought the movie tickets. Maybe I should find a fancy restaurant womewhere around the cinema for our date.,FALSE,3002,
3002,text,g,3.png,You can never be too prepared for a date. I should try to find as many as I can.,FALSE,3003,
3003,text,g,3.png,(minigame: Click the good restaurant to add it to your favorites. Avoid the bad stores. Okey prepare for your first date!),FALSE,3004,
3004,choice,g,3.png,play,TRUE,3005,
3005,choice,g,3.png,I think I can find more. (Play Again),FALSE,3003,
3005,choice,g,3.png,I think I've had enough. (Quit),FALSE,3006,
3006,text,g,3-2.png,It is finally the day of our date.,FALSE,3007,
3007,text,g,3-2.png,It's my first time sitting next to her and I can't help feeling a little nervous,FALSE,3008,
3008,text,g,3-2.png,I just keep telling myself to calm down and focus on the movie,FALSE,3009,
3009,text,g,3-2.png,The movie ended and we stayed in our seats until everyone else was gone.,FALSE,3010,
3010,text,m,3-2.png,"""The movie was kind of interesting.""",FALSE,3011,
3011,text,f,3-2.png,"""It was great!""",FALSE,3013,
3013,text,f,3-2.png,"So what's next?""",FALSE,3014,
3014,text,m,3-2.png,"""I know a nice restaurant nearby.""",FALSE,3015,
3015,choice,g,3-2.png,Southeast Asian cuisine,TRUE,3100,FALSE
3015,choice,g,3-2.png,Cantonese Dim Sum,TRUE,3100,FALSE
3015,choice,g,3-2.png,Sushi,TRUE,3100,FALSE
3015,choice,g,3-2.png,Sichuan Hot Pot,TRUE,3101,TRUE
3100,text,f,3-2.png,"""Sure, I'm not picky.""",FALSE,4001,
3101,text,f,3-2.png,"""Great. How did you know that I like Hot Pot?""",FALSE,4001,
4001,text,g,4.png,Moonlight painted a silver outline around her face.,FALSE,4002,
4002,text,g,4.png,I can hear my heartbeat while I look at her.,FALSE,4003,
4003,text,g,4.png,"We are becoming closer and closer. We don't even need to speak, there is already a tacit understanding between us.",FALSE,4004,
4004,text,g,4.png,I don't think there's anything more to be said,FALSE,4005,
